1,5,3,4,9,100,4,0,5,1,1,1,0,1,1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-5,-3,-4,-9,-100,-4,-3,-5,1/2-1/2
0,5,3,4,9,100,4,0,5,1,1,1,0,1,1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-5,0,-4,-9,-100,-4,-3,-5,1/2-1/2
1,5,3,4,9,100,4,0,5,1,1,1,0,1,1,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-5,0,-4,-9,-100,-4,-3,-5,1/2-1/2
0,5,3,4,9,100,4,0,5,1,1,1,0,1,1,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-5,0,0,-9,-100,-4,-3,-5,1/2-1/2
1,5,3,4,9,100,4,0,5,1,1,0,0,1,1,0,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-5,0,0,-9,-100,-4,-3,-5,1/2-1/2
0,5,3,4,9,100,4,0,5,1,1,0,0,1,1,0,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,0,0,0,-1,-1,-1,-9,0,-1,-1,-1,-5,0,0,0,-100,-4,-3,-5,1/2-1/2
1,5,3,4,9,100,4,0,5,1,0,0,0,1,1,0,1,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,0,0,0,-1,-1,-1,-9,0,-1,-1,-1,-5,0,0,0,-100,-4,-3,-5,1/2-1/2
0,5,3,4,9,100,4,0,5,1,0,0,0,1,1,0,1,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,-1,0,0,-1,-1,-1,-9,0,0,-1,-1,-5,0,0,0,-100,-4,-3,-5,1/2-1/2
1,5,0,4,9,100,4,0,5,1,0,0,3,1,1,0,1,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,-1,0,0,-1,-1,-1,-9,0,0,-1,-1,-5,0,0,0,-100,-4,-3,-5,1/2-1/2
0,5,0,4,9,100,4,0,5,1,0,0,3,1,1,0,1,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-3,0,-4,-1,0,-3,-1,-1,-1,-9,0,0,-1,-1,-5,0,0,0,-100,-4,0,-5,1/2-1/2
